station_name,station_id,lat,lng
6 St & Grand St,HB302,40.744397,-74.0345
6 St & Grand St,HB302,40.74439783,-74.03450087
6 St & Grand St,HB302,40.744398,-74.034501
Clinton St & 7 St,HB303,40.74542,-74.03332
Leonard Gordon Park,JC080,40.745909,-74.057271
Leonard Gordon Park,3281,40.74590997,-74.05727148
Leonard Gordon Park,JC080,40.74591,-74.057271
8 St & Washington St,HB603,40.745983,-74.028199
8 St & Washington St,HB603,40.74598388,-74.02819902
8 St & Washington St,HB603,40.745984,-74.028199
7 St & Monroe St,HB304,40.746412,-74.037977
7 St & Monroe St,HB304,40.74641265,-74.03797701
7 St & Monroe St,HB304,40.746413,-74.037977
W 27 St & 7 Ave,442,40.746647,-73.993915
W 20 St & 11 Ave,459,40.746745,-74.007756
E 39 St & 2 Ave,518,40.74780373,-73.9734419
9 St HBLR - Jackson St & 8 St,HB305,40.747907,-74.038411
9 St HBLR - Jackson St & 8 St,HB305,40.747907,-74.038412
9 St HBLR - Jackson St & 8 St,HB305,40.74790721,-74.03841153
Columbus Park - Clinton St & 9 St,HB501,40.748161,-74.032453
Columbus Park - Clinton St & 9 St,HB501,40.74816121,-74.032453
Columbus Park - Clinton St & 9 St,HB501,40.7482,-74.0325
Heights Elevator,JC059,40.748715,-74.040443
Heights Elevator,3198,40.74871595,-74.0404433
Heights Elevator,JC059,40.748716,-74.040443
6 Ave & W 33 St,505,40.74901271,-73.98848395
W 31 St & 7 Ave,6331.01,40.749156,-73.9916
6 Ave & W 34 St,6364.1,40.74964,-73.98805
W 26 St & 10 Ave,6382.05,40.74971775,-74.00295035
Madison St & 10 St,HB503,40.749943,-74.035864
Madison St & 10 St,HB503,40.749943,-74.035865
Madison St & 10 St,HB503,40.74994325,-74.03586477
11 St & Washington St,HB502,40.749984,-74.02715
11 St & Washington St,HB502,40.74998491,-74.02715027
11 St & Washington St,HB502,40.749985,-74.02715
,,40.75,-74.02
,,40.75,-74.03
,,40.75,-74.04
E 43 St & 2 Ave,6422.08,40.75022392,-73.97121414
W 37 St & 5 Ave,6398.06,40.75038009,-73.98338988
10 Ave & W 28 St,489,40.75066386,-74.00176802
Adams St & 11 St,HB507,40.750915,-74.03354
Adams St & 11 St,HB507,40.75091553,-74.03354064
Adams St & 11 St,HB507,40.750916,-74.033541
Willow Ave & 12 St,HB505,40.751867,-74.030377
Willow Ave & 12 St,HB505,40.75186748,-74.03037697
Pershing Square North,519,40.751873,-73.977706
W 40 St & 5 Ave,3798,40.752269,-73.982079
W 30 St & 10 Ave,3735,40.752694,-74.002353
14 St Ferry - 14 St & Shipyard Ln,HB202,40.75296,-74.024352
14 St Ferry - 14 St & Shipyard Ln,HB202,40.75296063,-74.02435273
14 St Ferry - 14 St & Shipyard Ln,HB202,40.752961,-74.024353
Grand St & 14 St,HB506,40.75409,-74.0316
Bloomfield St & 15 St,HB203,40.75453,-74.02658
8 Ave & W 38 St,6526.05,40.75461,-73.99177
W 35 St & Dyer Ave,6569.08,40.75469175,-73.99740189
W 42 St & 6 Ave,6517.08,40.75492,-73.98455
W 44 St & 5 Ave,484,40.75500254,-73.98014437
Broadway & W 41 St,6560.01,40.75513557,-73.98658032
Broadway & W 41 St,6560.01,40.755136,-73.98658
W 34 St & 11 Ave,525,40.75594159,-74.0021163
E 51 St & Lexington Ave,6659.01,40.75714758,-73.97207836
W 45 St & 8 Ave,2021,40.75929124,-73.98859651
E 56 St & 3 Ave,464,40.75934501,-73.96759673
E 53 St & Madison Ave,456,40.7597108,-73.97402311
11 Ave & W 41 St,6726.01,40.76030096,-73.99884222
Broadway & W 49 St,173,40.76068327,-73.98452729
12 Ave & W 40 St,6765.01,40.760875,-74.002777
12 Ave & W 40 St,514,40.76087502,-74.00277668
W 52 St & 6 Ave,3443,40.76132983,-73.97982001
W 44 St & 11 Ave,6756.05,40.762009,-73.996975
W 49 St & 8 Ave,6747.06,40.76227205,-73.98788205
Broadway & W 51 St,500,40.76228826,-73.98336183
W 47 St & 10 Ave,495,40.76269882,-73.99301222
W 55 St & 6 Ave,6809.09,40.763189,-73.978434
W 46 St & 11 Ave,6795.01,40.76341379,-73.99667444
8 Ave & W 52 St,6816.07,40.76370739,-73.9851615
Grand Army Plaza & Central Park S,6839.1,40.7643971,-73.97371465
W 50 St & 10 Ave,6890.06,40.7647342,-73.9919436
Broadway & W 56 St,468,40.7652654,-73.98192338
Central Park S & 6 Ave,2006,40.76590936,-73.97634151
W 53 St & 10 Ave,480,40.76669671,-73.99061728
2 Ave & E 72 St,6925.09,40.76876203,-73.95840794
11 Ave & W 59 St,7059.01,40.77149671,-73.99046034
West End Ave & W 60 St,7059.08,40.77237,-73.99005
5 Ave & E 72 St,7100.07,40.772828,-73.966853
E 85 St & York Ave,3150,40.77536905,-73.94803392
E 88 St & Park Ave,7293.1,40.7814107,-73.95595908
Riverside Dr & W 78 St,3178,40.78414472,-73.98362492
W 95 St & Broadway,3314,40.7937704,-73.971888
Lenox Ave & W 111 St,3521,40.7987859,-73.9523
E 123 St & Lexington Ave,3504,40.8029263,-73.9379
Cathedral Pkwy & Broadway,7680.03,40.804213,-73.96699104
Frederick Douglass Blvd & W 117 St,7688.12,40.805159,-73.954692
Adam Clayton Powell Blvd & W 126 St,3629,40.80949535,-73.94776493
Morningside Ave & W 123 St,3540,40.81,-73.9551508
W 120 St & Claremont Ave,3623,40.8109494,-73.9634
Broadway & W 122 St,3545,40.8120562,-73.9612547
Broadway & Moylan Pl,3547,40.8143256,-73.9590255
W 129 St & Convent Ave,3649,40.81439444,-73.95324737
St Nicholas Ave & E 134 St,3934,40.816234,-73.948222
Lenox Ave & W 144 St,4000,40.819783,-73.936521
Edgecombe Ave & W 141 St,4004,40.820681,-73.945144
W 147 St & Adam Clayton Powell Blvd,7971.07,40.82281,-73.937413
Riverside Dr & W 138 St,4007,40.823168,-73.955857
Westchester Ave & Southern Blvd,8004.03,40.824956,-73.891677
E 161 St & River Ave,8041.07,40.827883,-73.927111
Jerome Ave & E 164 St,8096.02,40.831444,-73.926226
Broadway & W 155 St,8123.02,40.83299,-73.94592
Boston Rd & Prospect Ave,8133.08,40.833246,-73.896599
Broadway & W 160 St,4071,40.835775,-73.9434
W 169 St & Fort Washington Ave,3992,40.8428422,-73.9421253
Fort Washington Ave & W 173 St,4061,40.84522,-73.940493
Grand Concourse & E 175 St,8303.06,40.846221,-73.909232
Cabrini Blvd & W 177 St,4069,40.848282,-73.941343
Wadsworth Ave & W 179 St,8336.02,40.848467,-73.936064
W 180 St & Ft Washington Ave,8358.03,40.849972,-73.938423
W 181 St & Riverside Dr,8381.04,40.85168,-73.94186
